theme,stakeholder,stakeholder_role,quote or observation,business impact,confidence level,sub-signal,signal backing count (deduplicated),supporting note ids
Customers cannot see or settle their own case,Amina Rahman,Compliance Liaison,Customers respond well when they have control and transparency about what they owe.,Customer friction and confusion lower resolution rates and undermine portal adoption.,High,customers lack clear case visibility,4,SN-001; SN-047; SN-065; SN-081
Customers cannot see or settle their own case,Daniel Okoye,Finance Business Partner,Customers call back three times because they do not remember what they were told on the first call.,Customer friction and confusion lower resolution rates and undermine portal adoption.,High,assisted journey causes repeat contact friction,2,SN-002; SN-036
Risky cases are not separated from straightforward ones,Sylvia Turner,Operations Analyst,We have no way to tell whether a customer is genuinely unable to pay or simply avoiding contact.,Inadequate triage raises complaint risk and compliance exposure in sensitive edge cases.,Medium,risk attribution and decisioning is unclear,4,SN-006; SN-014; SN-042; SN-055
Risky cases are not separated from straightforward ones,Mr Martyn Akhtar,Operations Analyst,I cannot recommend automating anything until I see that it will not create new compliance risks.,Inadequate triage raises complaint risk and compliance exposure in sensitive edge cases.,Medium,risk governance gating is unresolved,3,SN-019; SN-060; SN-120
Risky cases are not separated from straightforward ones,Peter Chambers,Customer Service Lead,We cannot automate the decision about whether a customer is genuinely in hardship or just dodging contact.,Inadequate triage raises complaint risk and compliance exposure in sensitive edge cases.,Medium,vulnerability/hardship triage is weak,3,SN-041; SN-054; SN-069
Risky cases are not separated from straightforward ones,Simon Burns,Compliance Liaison,We do not have a way to identify which cases are straightforward versus which require specialist handling.,Inadequate triage raises complaint risk and compliance exposure in sensitive edge cases.,Medium,specialist versus routine separation is weak,1,SN-039
Agents and managers may not adopt it,Jacqueline Norris,Operations Analyst,We need to fix the fundamentals before we can build anything new on top.,Low adoption risk can erode expected benefits even if technical delivery succeeds.,High,frontline readiness and alignment risk,9,SN-030; SN-034; SN-058; SN-064; SN-068; SN-076; SN-089; SN-095; SN-125
Agents and managers may not adopt it,Daniel Farmer,Finance Analyst,"Some agents have been doing this for so long they are faster than the system, and they will resist change.",Low adoption risk can erode expected benefits even if technical delivery succeeds.,High,change trust and fear barriers,4,SN-018; SN-084; SN-090; SN-097
Agents and managers may not adopt it,Gareth Evans,Senior Collections Team Leader,Leadership approved the roadmap five years ago and never came back to debt recovery.,Low adoption risk can erode expected benefits even if technical delivery succeeds.,High,leadership follow-through and sponsorship risk,3,SN-004; SN-051; SN-074
Agents and managers may not adopt it,Andrea Hunt,Finance Analyst,"If self-service reduces agent workload, that headcount saving needs to be real, not theoretical.",Low adoption risk can erode expected benefits even if technical delivery succeeds.,High,benefit definition and proof are misaligned,2,SN-031; SN-071
